Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S13840800012,08/12/2013,2460,"Liquor Barn, Inc.",721 CENTRAL AVENUE WEST,HAMPTON,50441,POINT (-93.21693 42.741728),35,Franklin,1062300,FLAVORED RUM,370,Pernod Ricard USA/Austin Nichols,42717,Malibu Coconut Rum,12,"1,000",10.00,14.99,12,179.88,12.00,3.17
S19975500086,07/08/2014,2233,Forbes Liquor Locker / remi,2508 ENTERPRISE AVE,SPIRIT LAKE,51360,POINT (-95.126786 43.416433),30,Dickinson,1031080,VODKA 80 PROOF,205,E AND J GALLO WINERY,36970,New Amsterdam Vodka,12,"1,000",7.33,11.00,3,33.00,3.00,0.79
S05388100007,05/07/2012,3456,Quick Shop / Clear Lake,904 N 8TH ST,CLEAR LAKE,50428,POINT (-93.378772 43.142868),17,Cerro Gordo,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11786,Black Velvet Traveler,12,750,5.23,7.84,12,94.08,9.00,2.38
S10057200067,01/15/2013,2614,Hy-Vee #3 Food and Drugstore,1823 E KIMBERLY RD,DAVENPORT,52807,POINT (-90.548919 41.55678100000001),82,Scott,1031080,VODKA 80 PROOF,300,Mccormick Distilling Company,36903,Mccormick Vodka,48,200,1.13,1.70,48,81.60,9.60,2.54
S10348700150,01/31/2013,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.596754 41.554101),77,Polk,1081312,BUTTERSCOTCH SCHNAPPS,65,Jim Beam Brands,82787,Dekuyper Buttershots,12,"1,000",7.35,11.02,12,132.24,12.00,3.17
S21567800024,10/02/2014,4819,Super Stop 2 / Altoona,2635 ADVENTURELAND DR,ALTOONA,50009,POINT (-93.494642 41.65854),77,Polk,1081200,CREAM LIQUEURS,305,MHW Ltd,80484,Tippy Cow Orange Cream Mini,12,500,7.42,11.13,1,11.13,0.50,0.13
S05774200065,05/29/2012,2954,Dahl's / Ingersoll,3425 INGERSOLL,DES MOINES,50300,POINT (-93.663337 41.586313),77,Polk,1081400,TRIPLE SEC,434,Luxco-St Louis,86250,Juarez Triple Sec,12,750,2.50,3.75,12,45.00,9.00,2.38
S04892600008,04/04/2012,3707,Target Store T-1768 / Cedar Rapids,1030 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT (-91.649625 42.035157),57,Linn,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36308,Hawkeye Vodka,6,"1,750",7.13,10.70,6,64.20,10.50,2.77
S04822900003,04/02/2012,4310,Fareway Stores #502 / Cherokee,205 WEST BLUFF ST,CHEROKEE,51012,POINT (-95.551866 42.75508),18,Cherokee,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11788,Black Velvet,6,"1,750",10.45,15.67,6,94.02,10.50,2.77
S26944400013,07/28/2015,3420,Sam's Club 6344 / Windsor Heights,1101  73RD STREET,WINDSOR HEIGHTS,50311,POINT (-93.718027 41.599172),77,Polk,1041100,AMERICAN DRY GINS,260,Diageo Americas,30317,Gordon's Gin London Dry,12,"1,000",7.00,10.50,24,252.00,24.00,6.34
