Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S16046600008,12/03/2013,4584,J & C Grocery / Dumont,611 MAIN ST,DUMONT,50602,POINT (-92.973022 42.750551),12,Butler,1051100,APRICOT BRANDIES,434,Luxco-St Louis,54446,Paramount Apricot Flavored Brandy,12,750,5.48,8.22,2,16.44,1.50,0.40
S21974700027,10/23/2014,4185,Fareway Stores #737 / Grinnell,727 WEST ST,GRINNELL,50112,POINT (-92.727347 41.741352),79,Poweshiek,1022100,TEQUILA,410,The Patron Spirits Company,88296,Patron Tequila Silver,12,750,27.00,40.50,4,162.00,3.00,0.79
S27613100054,08/31/2015,2653,Hy-Vee Wine and Spirits / Washington,1004 W MADISON ST,WASHINGTON,52353,POINT (-91.704567 41.296576),92,Washington,1062300,FLAVORED RUM,35,"Bacardi U.S.A., Inc.",43137,Bacardi Limon,12,"1,000",9.50,14.25,2,28.50,2.00,0.53
S09146900030,11/26/2012,4829,Central City 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT (-93.613739 41.60572),77,Polk,1012100,CANADIAN WHISKIES,260,Diageo Americas,10818,Crown Royal Maple,12,750,14.50,21.74,12,260.88,9.00,2.38
S23628100005,01/21/2015,4349,Southside Food Mart,1101 ARMY POST RD,DES MOINES,50315,POINT (-93.628783 41.526511),77,Polk,1031080,VODKA 80 PROOF,300,Mccormick Distilling Company,36903,Mccormick Vodka,48,200,1.13,1.70,48,81.60,9.60,2.54
S20295300041,07/24/2014,3896,Smokin' Joe's #18 Tobacco and Liquor,1901 BROADWAY ST,IOWA CITY,52240,POINT (-91.520308 41.641383),52,Johnson,1022100,TEQUILA,395,Proximo,89191,Jose Cuervo Especial Reposado Tequila Mini,12,500,11.50,17.25,2,34.50,1.00,0.26
S26531300029,07/01/2015,3065,Montezuma Super Valu,201 S FRONT ST,MONTEZUMA,50171,POINT (-92.527248 41.584179),79,Poweshiek,1081335,RASPBERRY SCHNAPPS,434,Luxco-St Louis,82146,Arrow Raspberry Schnapps,12,750,4.34,6.51,3,19.53,2.25,0.59
S18657300043,04/28/2014,2535,Hy-Vee Food Store #1 / WDM,1700 VALLEY WEST DR,WEST DES MOINES,50265,,77,Polk,1071100,AMERICAN COCKTAILS,395,Proximo,59154,1800 Ultimate Margarita,6,"1,750",9.50,14.24,2,28.48,3.50,0.92
S21540800133,10/01/2014,3926,Liquor Downtown / Iowa City,315 S GILBERT ST,IOWA CITY,52240,POINT (-91.530181 41.657654),52,Johnson,1032200,IMPORTED VODKA - MISC,35,"Bacardi U.S.A., Inc.",33672,Grey Goose Le Melon,6,750,17.49,26.74,3,80.22,2.25,0.59
S25490900018,05/06/2015,4697,Southside Liquor & Tobacco / Iowa Ci,601 HOLLYWOOD BLVD,IOWA CITY,52240,POINT (-91.52741 41.643807),52,Johnson,1052010,IMPORTED GRAPE BRANDIES,420,"Moet Hennessy USA, Inc.",48105,Hennessy VS,12,375,9.99,14.99,24,359.76,9.00,2.38
S06283100018,06/27/2012,2537,Hy-Vee Drugstore / Fort Dodge,215 S 25TH ST,FORT DODGE,50501,POINT (-94.163096 42.503345),94,Webster,1011200,STRAIGHT BOURBON WHISKIES,461,Campari(skyy),22157,Wild Turkey 101,12,"1,000",14.99,22.49,6,134.94,6.00,1.59
S19822500042,06/30/2014,2529,Hy-Vee Drugstore #4 / Cedar Rapids,4825 JOHNSON AVE NW,CEDAR RAPIDS,52405,POINT (-91.73337 41.968343),57,Linn,1041100,AMERICAN DRY GINS,297,Laird And Company,29994,Five O'clock Gin,24,375,1.99,2.98,2,5.96,0.75,0.20
S07120200010,08/15/2012,2501,Hy-vee  #2 / Ames,640 LINCOLNWAY,AMES,50010,POINT (-93.619455 42.022848),85,Story,1041100,AMERICAN DRY GINS,434,Luxco-St Louis,31657,Paramount Gin,12,"1,000",4.30,6.44,12,77.28,12.00,3.17
S13559200016,07/24/2013,4071,Kellogg Country Store,103 BLAIR ST,KELLOG,50136,POINT (-92.903113 41.7144),50,Jasper,1011100,BLENDED WHISKIES,260,Diageo Americas,25608,Seagrams 7 Crown Bl Whiskey,6,"1,750",11.96,17.93,2,35.86,3.50,0.92
S10909200003,03/04/2013,2658,Hy-Vee Food Store / Mount Ayr,402 S HAYES ST,MOUNT AYR,50854,POINT (-94.233185 40.711775),80,Ringgold,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11776,Black Velvet,12,750,5.23,7.84,12,94.08,9.00,2.38
S15912400037,11/25/2013,3744,Payless Foods / Dyersville,733 16TH AVE SE,DYERSVILLE,52040,POINT (-91.115769 42.470204),31,Dubuque,1012100,CANADIAN WHISKIES,55,Sazerac North America,12404,Canadian Ltd Whisky,24,375,2.05,3.07,6,18.42,2.25,0.59
S10804000009,02/26/2013,2662,Hy-Vee Wine & Spirits / Muscatine,"522 MULBERRY, SUITE A",MUSCATINE,52761,POINT (-91.04437 41.426615),70,Muscatine,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45248,Paramount Gold Rum,6,"1,750",7.58,11.37,6,68.22,10.50,2.77
S14248900018,10/04/2013,2573,Hy-Vee Food Store / Muscatine,2400 2ND AVE,MUSCATINE,52761,POINT (-91.035138 41.451349),70,Muscatine,1031200,VODKA FLAVORED,380,Phillips Beverage Company,41653,Uv Citruv (citrus) Vodka,12,750,6.25,9.49,36,341.64,27.00,7.13
S12733800015,06/11/2013,3816,Swils,200 E OAK ST,RED OAK,51566,POINT (-95.230032 41.016691),69,Montgomery,1081315,CINNAMON SCHNAPPS,65,Jim Beam Brands,82881,Dekuyper Hot Damn! 100 Proof,12,750,6.77,10.15,12,121.80,9.00,2.38
S04758100017,03/27/2012,3563,Wal-Mart 0559 / Muscatine,3003 NORTH HWY 61,MUSCATINE,52761,POINT (-91.025913 41.45529),70,Muscatine,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36306,Hawkeye Vodka,12,750,3.25,4.88,12,58.56,9.00,2.38
S16603600087,12/30/2013,3818,Round Window Liquor,703 W PLEASANT ST,KNOXVILLE,50138,POINT (-93.10564100000002 41.320746),63,Marion,1051110,BLACKBERRY BRANDIES,434,Luxco-St Louis,55087,Paramount Blackberry Brandy,12,"1,000",6.53,9.80,1,9.80,1.00,0.26
S13043100143,06/27/2013,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,POINT (-91.658105 42.010971),57,Linn,1081390,IMPORTED SCHNAPPS,421,"Sazerac Co., Inc.",69646,Dr. Mcgillicuddy's Lemon Drop,12,750,8.66,12.99,2,25.98,1.50,0.40
S26390600006,06/24/2015,3635,Clark's Food Mart / Ogden,302 WEST WALNUT ST,OGDEN,50212,POINT (-94.03117800000001 42.039076),08,Boone,1012100,CANADIAN WHISKIES,55,Sazerac North America,12408,Canadian Ltd Whisky,6,"1,750",7.94,12.51,6,75.06,10.50,2.77
S05876800027,06/05/2012,3549,Quicker Liquor Store,1414 48TH ST,FORT MADISON,52627,POINT (-91.373211 40.62422600000001),56,Lee,1011200,STRAIGHT BOURBON WHISKIES,461,Campari(skyy),22151,Wild Turkey 101 Mini,12,500,8.52,12.79,2,25.58,1.00,0.26
S07620000107,09/10/2012,3565,Hartig Drug Store #10,701 MORMON TREK BLVD,IOWA CITY,52246,POINT (-91.574025 41.651984),52,Johnson,1012200,SCOTCH WHISKIES,305,MHW Ltd,4936,Famous Grouse Scotch,12,750,12.74,19.11,8,152.88,6.00,1.59
S05200900004,04/24/2012,2507,Hy-Vee Food Store #1 / Burlington,939 ANGULAR,BURLINGTON,52601,POINT (-91.110752 40.801889),29,Des Moines,1052010,IMPORTED GRAPE BRANDIES,420,"Moet Hennessy USA, Inc.",48106,Hennessy Vs Cognac,12,750,17.25,25.88,12,310.56,9.00,2.38
S28253700019,10/05/2015,2560,Hy-Vee Food Store / Marion,3600 BUSINESS HWY 151 EAST,MARION,52302,,57,Linn,1062310,SPICED RUM,259,Heaven Hill Brands,43022,Admiral Nelson Spiced Rum Mini,12,500,3.78,5.67,12,68.04,6.00,1.59
S06760200001,07/25/2012,4133,Mccoy's 1447,1447  2ND ST,WEBSTER CITY,50595,POINT (-93.83997 42.469614),40,Hamilton,1031080,VODKA 80 PROOF,297,Laird And Company,35926,Five O'clock PET Vodka,12,750,3.31,4.96,24,119.04,18.00,4.76
S09734100165,12/27/2012,2552,Hy-Vee Food Store #3 / Cedar Rapids,20 WILSON AVENUE WEST,CEDAR RAPIDS,52404,POINT (-91.658577 41.955859),57,Linn,1081250,WHITE CREME DE MENTHE,434,Luxco-St Louis,79816,Paramount Creme De Menthe/white,12,750,4.65,6.97,3,20.91,2.25,0.59
S26283000020,06/18/2015,5043,West Side Liquor / Waterloo,919 W 5TH ST,WATERLOO,50702,POINT (-92.346356 42.488567),07,Black Hawk,1032200,IMPORTED VODKA - MISC,115,"Constellation Wine Company, Inc.",36311,Svedka Grapefruit Jalapeno,12,750,8.25,12.38,5,61.90,3.75,0.99
S27345800048,08/18/2015,2641,Hy-Vee Drugstore / Council Bluffs,757 W BROADWAY,COUNCIL BLUFFS,51501,POINT (-95.855054 41.261673),78,Pottawattamie,1012100,CANADIAN WHISKIES,260,Diageo Americas,10803,Crown Royal Regal Apple Mini,10,300,7.35,11.03,3,33.09,0.90,0.24
S07355400011,08/28/2012,3841,Hartig Drug Company #2 / Locust,157 LOCUST ST,DUBUQUE,52001,POINT (-90.665439 42.495308),31,Dubuque,1031200,VODKA FLAVORED,260,Diageo Americas,41076,Jeremiah Weed Sweet Tea Vodka,12,750,9.65,14.47,3,43.41,2.25,0.59
S04881900034,04/04/2012,2644,Hy-Vee Fort Dodge Wine and Spirits,1511 2ND AVE NORTH,FORT DODGE,50501,POINT (-94.177165 42.508344),94,Webster,1032200,IMPORTED VODKA - MISC,370,Pernod Ricard USA/Austin Nichols,34096,Absolut Kurant,12,750,10.89,16.33,12,195.96,9.00,2.38
S07818900076,09/19/2012,2558,Hy-Vee Food Store / Mount Pleasant,1700 E WASHINGTON,MOUNT PLEASANT,52641,POINT (-91.52888 40.962331000000006),44,Henry,1051100,APRICOT BRANDIES,434,Luxco-St Louis,54444,Paramount Apricot Flavored Brandy,24,375,3.54,5.31,6,31.86,2.25,0.59
S25755200142,05/20/2015,2623,Hy-Vee Food Store #4 / Sioux City,2827 HAMILTON BLVD,SIOUX CITY,51104,POINT (-96.417783 42.519886),97,Woodbury,1012210,SINGLE MALT SCOTCH,65,Jim Beam Brands,5446,Laphroaig 10 Yr Single Malt Scotch,12,750,26.24,39.36,2,78.72,1.50,0.40
S17852200007,03/12/2014,3879,Target Store T-1800 / Sioux City,5775 SUNNYBROOK DR,SIOUX CITY,51106,POINT (-96.332446 42.448939),97,Woodbury,1071100,AMERICAN COCKTAILS,395,Proximo,58872,Jose Cuervo Authentic Light Margarita Lime,6,"1,750",8.20,12.30,6,73.80,10.50,2.77
S12244300014,05/16/2013,4877,World Liquor & Tobacco,1775 NW 86TH ST,CLIVE,50325,POINT (-93.736232 41.607853),77,Polk,1081900,MISC. AMERICAN CORDIALS & LIQUEURS,322,Prestige Wine and Spirits Group,75211,Kinky Liqueur,12,750,10.00,15.00,12,180.00,9.00,2.38
S11085400213,03/13/2013,2543,Hy-Vee Food Store #1 / Ottumwa,1025 NORTH QUINCY AVE,OTTUWMA,52501,POINT (-92.438463 41.01558),90,Wapello,1081390,IMPORTED SCHNAPPS,421,"Sazerac Co., Inc.",69654,Dr. Mcgillicuddy's Mint Schnapps,24,375,5.33,7.99,1,7.99,0.38,0.10
S08780400131,11/06/2012,2506,Hy-Vee #1044 / Burlington,3140 AGENCY,BURLINGTON,52601,POINT (-91.136655 40.814666),29,Des Moines,1031200,VODKA FLAVORED,461,Campari(skyy),40835,Skyy Infusions Dragon Fruit,12,750,10.01,15.01,4,60.04,3.00,0.79
S18888800035,05/12/2014,2573,Hy-Vee Food Store / Muscatine,2400 2ND AVE,MUSCATINE,52761,POINT (-91.035138 41.451349),70,Muscatine,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64867,Fireball Cinnamon Whiskey,12,"1,000",11.34,17.01,36,612.36,36.00,9.51
S04282800040,02/28/2012,2584,Hy-Vee Food Store / Fort Madison,2606 AVENUE L,FORT MADISON,52627,POINT (-91.343544 40.626988),56,Lee,1051100,APRICOT BRANDIES,434,Luxco-St Louis,54446,Paramount Apricot Flavored Brandy,12,750,0.00,0.00,5,0.00,3.75,0.99
S20725000015,08/19/2014,4829,Central City 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT (-93.613739 41.60572),77,Polk,1022100,TEQUILA,55,Sazerac North America,89577,Montezuma Gold Tequila,12,"1,000",7.02,10.53,24,252.72,24.00,6.34
S14032700009,08/21/2013,4875,Bani's,"307, MAIN ST",CEDAR FALLS,50613,POINT (-92.445477 42.535592),07,Black Hawk,1062300,FLAVORED RUM,260,Diageo Americas,43410,Captain Morgan Parrot Bay Coconut,12,750,7.49,11.23,12,134.76,9.00,2.38
S18006200127,03/20/2014,2593,Hy-Vee Food Store / Carroll,905 US HIGHWAY 30 WEST,CARROLL,51401,POINT (-94.853591 42.064155),14,Carroll,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,65,Jim Beam Brands,44516,Cruzan Light Rum,12,750,6.83,10.25,1,10.25,0.75,0.20
S06922900045,08/02/2012,2636,Hy-Vee Wine and Spirits / Hubbell,2310 HUBBELL AVE,DES MOINES,50317,POINT (-93.573845 41.604312),77,Polk,1031200,VODKA FLAVORED,260,Diageo Americas,41076,Jeremiah Weed Sweet Tea Vodka,12,750,9.65,14.47,12,173.64,9.00,2.38
S12575000110,06/04/2013,4509,A J'S LIQUOR II,2515 CHAMBERLAIN,AMES,50010,POINT (-93.650838 42.021461),85,Story,1082900,MISC. IMPORTED CORDIALS & LIQUEURS,259,Heaven Hill Brands,65195,Hpnotiq,6,750,9.83,14.74,2,29.48,1.50,0.40
S19988300003,07/09/2014,3872,Target Store T-0086 / Dubuque,3500 DODGE ST,DUBUQUE,52003,POINT (-90.720589 42.491944),31,Dubuque,1031200,VODKA FLAVORED,380,Phillips Beverage Company,41693,Uv Blue (raspberry) Vodka,12,750,6.50,9.74,12,116.88,9.00,2.38
S09306800114,12/04/2012,2573,Hy-Vee Food Store / Muscatine,2400 2ND AVE,MUSCATINE,52761,POINT (-91.035138 41.451349),70,Muscatine,1012100,CANADIAN WHISKIES,421,"Sazerac Co., Inc.",11390,Tap 357,6,750,14.95,22.43,2,44.86,1.50,0.40
S04893700101,04/04/2012,2605,Hy-Vee Drugstore #5 / Cedar Rapids,2001 BLAIRS FERRY ROAD NE,CEDAR RAPIDS,52402,POINT (-91.668909 42.034799),57,Linn,1081300,PEPPERMINT SCHNAPPS,434,Luxco-St Louis,81406,Thunder 101 Peppermint Schnapps,12,750,6.43,9.64,12,115.68,9.00,2.38
S28509400001,10/21/2015,3762,Wine and Spirits Gallery,7690 HICKMAN RD,WINDSOR HEIGHTS,50322,,77,Polk,1011200,STRAIGHT BOURBON WHISKIES,421,"Sazerac Co., Inc.",921540,Stagg Jr. HA,6,750,25.99,38.99,3,116.97,2.25,0.59
S06482700125,07/09/2012,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.596754 41.554101),77,Polk,1022100,TEQUILA,65,Jim Beam Brands,89787,Sauza Gold,12,"1,000",11.55,17.32,24,415.68,24.00,6.34
S29168000095,11/18/2015,5105,Johncy's Liquor Store,"585, HIGHWAY 965",NORTH LIBERTY,52317,POINT (-91.60761 41.738129),52,Johnson,1031100,100 PROOF VODKA,300,Mccormick Distilling Company,36908,Mccormick Vodka Pet,6,"1,750",7.47,11.21,6,67.26,10.50,2.77
S27380000080,08/18/2015,3942,Twin Town Liquor,104 HIGHWAY 30 WEST,TOLEDO,52342,POINT (-92.579446 41.985985),86,Tama,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64858,Fireball Cinnamon Whiskey Mini Dispenser,1,"3,000",29.72,44.58,1,44.58,3.00,0.79
S10550600001,02/13/2013,4790,Mediapolis Fast Break,"109, WAPELLO ST",MEDIAPOLIS,52405,POINT (-91.170025 41.007416),29,Des Moines,1081700,DISTILLED SPIRITS SPECIALTY,384,Piedmont Distillers,76032,Midnight Moon Original,6,750,10.42,15.63,6,93.78,4.50,1.19
S13038400001,06/27/2013,4892,Sara Mini Mart,1026 W RIVER DR,DAVENPORT,52802,POINT (-90.588375 41.520158),82,Scott,1011100,BLENDED WHISKIES,260,Diageo Americas,25603,Seagrams 7 Crown Bl Whiskey,48,200,1.96,2.93,48,140.64,9.60,2.54
S20200800052,07/21/2014,5001,The Music Station / Independence,709 FIRST ST W,INDEPENDENCE,50644,POINT (-91.901687 42.468633),10,Buchanan,1032200,IMPORTED VODKA - MISC,395,Proximo,35964,Three Olives Loopy Flavored Vodka,12,750,9.96,14.94,2,29.88,1.50,0.40
S05515400103,05/14/2012,3565,Hartig Drug Store #10,701 MORMON TREK BLVD,IOWA CITY,52246,POINT (-91.574025 41.651984),52,Johnson,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,20248,Old Crow,6,"1,750",8.92,13.38,3,40.14,5.25,1.39
S16282200012,12/16/2013,2618,Hy-Vee Drugstore #6 / Cedar Rapids,505 BOYSON RD NE,CEDAR RAPIDS,52402,POINT (-91.63913 42.04671),57,Linn,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19476,Maker's Mark,12,750,16.79,25.19,12,302.28,9.00,2.38
S26079000008,06/09/2015,4266,Wal-Mart 1683 / Shenandoah,705 S FREMONT,SHENANDOAH,51601,POINT (-95.385114 40.760282),73,Page,1031080,VODKA 80 PROOF,260,Diageo Americas,37996,Smirnoff Vodka 80 Prf,12,750,8.25,12.38,12,148.56,9.00,2.38
S15200700002,10/17/2013,4085,Save More Foods / Waterloo,1975 FRANKLIN ST,WATERLOO,50703,POINT (-92.315215 42.495394),07,Black Hawk,1051010,AMERICAN GRAPE BRANDIES,115,"Constellation Wine Company, Inc.",53218,Paul Masson Grande Amber Brandy,6,"1,750",11.99,17.99,6,107.94,10.50,2.77
S15091900004,10/14/2013,4402,KUM & GO #80 / RIVERSIDE,1178 ENTERPRISE DR,RIVERSIDE,52327,POINT (-91.555044 41.486572),92,Washington,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36308,Hawkeye Vodka,6,"1,750",7.17,10.76,6,64.56,10.50,2.77
S05143000084,04/19/2012,2560,Hy-Vee Food Store / Marion,3600 BUSINESS HWY 151 EAST,MARION,52302,,57,Linn,1032080,IMPORTED VODKA,35,"Bacardi U.S.A., Inc.",34422,Grey Goose Vodka,6,"1,000",21.77,32.66,6,195.96,6.00,1.59
S23050900037,12/18/2014,2652,Hy-Vee DrugStore / Mason City,875  4TH ST SW,MASON CITY,50401,POINT (-93.213856 43.148257),17,Cerro Gordo,1081600,WHISKEY LIQUEUR,421,"Sazerac Co., Inc.",64868,Fireball Cinnamon Whiskey,6,"1,750",15.33,23.00,6,138.00,10.50,2.77
S11265700073,03/25/2013,2505,Hy-Vee Wine and Spirits / Boone,1111  8TH ST,BOONE,50036,POINT (-93.876107 42.063831),08,Boone,1062310,SPICED RUM,259,Heaven Hill Brands,44258,Blackheart Premium Spiced Rum,12,750,7.94,11.91,12,142.92,9.00,2.38
S25445600052,05/05/2015,4209,Wal-Mart 5748 / Grimes,2150 EAST 1ST ST,GRIMES,50111,POINT (-93.771698 41.688332),77,Polk,1032080,IMPORTED VODKA,35,"Bacardi U.S.A., Inc.",34425,Grey Goose Vodka,6,"1,750",35.42,53.13,6,318.78,10.50,2.77
S13027200021,06/27/2013,4405,KUM & GO #92 / ANKENY,1025 E  1ST ST,ANKENY,50021,POINT (-93.58166 41.731869),77,Polk,1031080,VODKA 80 PROOF,260,Diageo Americas,37991,Smirnoff Vodka 80 Prf Mini,12,500,7.47,11.20,1,11.20,0.50,0.13
S12598700004,06/05/2013,4381,Kum & Go #443 / Williamsburg,2177 M AVE,WILLIAMSBURG,52361,POINT (-92.066146 41.690903),48,Iowa,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36308,Hawkeye Vodka,6,"1,750",7.13,10.70,6,64.20,10.50,2.77
S19908100001,07/02/2014,2552,Hy-Vee Food Store #3 / Cedar Rapids,20 WILSON AVENUE WEST,CEDAR RAPIDS,52404,POINT (-91.658577 41.955859),57,Linn,1051110,BLACKBERRY BRANDIES,434,Luxco-St Louis,55086,Paramount Blackberry Brandy,12,750,5.48,8.22,12,98.64,9.00,2.38
S12558600024,06/03/2013,4201,Fareway Stores #022 / Sioux City,4040 WAR EAGLE DR,SIOUX CITY,51109,POINT (-96.461706 42.49488100000001),97,Woodbury,1032200,IMPORTED VODKA - MISC,65,Jim Beam Brands,35626,Pinnacle Whipped,12,750,6.87,10.81,3,32.43,2.25,0.59
S11325100021,03/27/2013,2113,Jamboree Foods,1119 MARKET ST. BOX 71,GOWRIE,50543,POINT (-94.289457 42.28057),94,Webster,1032080,IMPORTED VODKA,370,Pernod Ricard USA/Austin Nichols,34006,Absolut Swedish Vodka 80 Prf,12,750,11.00,16.49,2,32.98,1.50,0.40
S23386700017,01/08/2015,3041,Shugar's Super Valu / Colfax,28 E HOWARD,COLFAX,50054,POINT (-93.244443 41.677932),50,Jasper,1081900,MISC. AMERICAN CORDIALS & LIQUEURS,322,Prestige Wine and Spirits Group,75211,Kinky Liqueur,12,750,10.00,15.00,2,30.00,1.50,0.40
S16078400005,12/04/2013,4452,Select Mart    Gordon Dr,2825 GORDON DR,SIOUX CITY,51105,POINT (-96.372014 42.489632),97,Woodbury,1031080,VODKA 80 PROOF,297,Laird And Company,35913,Five O'clock Vodka,48,200,1.13,1.69,48,81.12,9.60,2.54
S20035000008,07/14/2014,3814,Costco Wholesale #788,7205 MILLS CIVIC PKWY,WEST DES MOINES,50266,POINT (-93.806489 41.561342),25,Dallas,1041100,AMERICAN DRY GINS,370,Pernod Ricard USA/Austin Nichols,32237,Seagrams Extra Dry Gin,12,"1,000",7.49,11.24,96,"1,079.04",96.00,25.36
S06759800043,07/25/2012,4093,Hiway 20 Liquors / Fort Dodge,1724  5TH AVE SOUTH,FORT DODGE,50501,POINT (-94.173816 42.501131),94,Webster,1081010,AMERICAN AMARETTO,434,Luxco-St Louis,76487,Paramount Amaretto,12,"1,000",4.04,6.06,2,12.12,2.00,0.53
S06604100060,07/16/2012,2190,"Central City Liquor, Inc.",1460 2ND AVE,DES MOINES,50314,POINT (-93.619787 41.60566),77,Polk,1032200,IMPORTED VODKA - MISC,395,Proximo,34972,Three Olives Cherry Vodka,12,750,11.16,16.74,12,200.88,9.00,2.38
S11934100022,04/30/2013,3728,Brewski's Beverage,726 CREEK TOP,COUNCIL BLUFFS,51503,POINT (-95.854809 41.262316),78,Pottawattamie,1082900,MISC. IMPORTED CORDIALS & LIQUEURS,192,Sidney Frank Importing Co.,65257,Jagermeister Liqueur,12,"1,000",15.53,23.30,12,279.60,12.00,3.17
S13651900006,07/31/2013,3722,Wal-Mart 1361 / Sioux City,3400 SINGING HILLS BLVD,SIOUX CITY,51106,POINT (-96.36432 42.43609000000001),97,Woodbury,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19068,Jim Beam,6,"1,750",19.42,29.14,6,174.84,10.50,2.77
S16117100025,12/05/2013,4684,Indy 66 #928 / Indianola,1201 N JEFFERSON,INDIANOLA,50125,,91,Warren,1042100,IMPORTED DRY GINS,260,Diageo Americas,28866,Tanqueray Gin,12,750,12.00,17.99,2,35.98,1.50,0.40
S22790700008,12/08/2014,2569,Hy-Vee Food Store #2 / Cedar Rapids,279 COLLINS ROAD NE,CEDAR RAPIDS,52402,POINT (-91.630677 42.027805),57,Linn,1012300,IRISH WHISKIES,370,Pernod Ricard USA/Austin Nichols,15667,Jameson Black Barrel,12,750,17.49,26.24,12,314.88,9.00,2.38
S04404400010,03/06/2012,3886,Wal-Mart 0646 / Anamosa,101  115 ST,ANAMOSA,52205,POINT (-91.26496500000002 42.101677),53,Jones,1011100,BLENDED WHISKIES,260,Diageo Americas,25608,Seagrams 7 Crown Bl Whiskey,6,"1,750",11.26,16.90,6,101.40,10.50,2.77
S24605100049,03/18/2015,3565,Hartig Drug Store #10,701 MORMON TREK BLVD,IOWA CITY,52246,POINT (-91.574025 41.651984),52,Johnson,1081315,CINNAMON SCHNAPPS,421,"Sazerac Co., Inc.",82956,Firewater Cinnamon Schnapps,12,750,9.34,14.01,2,28.02,1.50,0.40
S23106100001,12/22/2014,3723,J D Spirits Liquor,1023  9TH ST,ONAWA,51040,POINT (-96.095845 42.025841),67,Monona,1032080,IMPORTED VODKA,35,"Bacardi U.S.A., Inc.",34433,Grey Goose Vodka,12,750,18.49,27.74,1,27.74,0.75,0.20
S20719000048,08/18/2014,2647,Hy-Vee #7 / Cedar Rapids,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,POINT (-91.701581 42.030129),57,Linn,1062310,SPICED RUM,395,Proximo,46506,Kraken Black Spiced Rum,6,"1,750",15.82,23.73,18,427.14,31.50,8.32
S15239000057,10/21/2013,2517,Hy-Vee Food Store #1 / Newton,1501 FIRST AVENUE EAST,NEWTON,50208,POINT (-93.034296 41.69916),50,Jasper,1081330,PEACH SCHNAPPS,65,Jim Beam Brands,82849,Dekuyper Peachtree Schnapps Pet,6,"1,750",11.54,17.31,6,103.86,10.50,2.77
S15276300012,10/22/2013,4824,Casey's General Store #3224 / Cresto,301 W TAYLOR ST,CRESTON,50801,POINT (-94.364142 41.049199),88,Union,1071100,AMERICAN COCKTAILS,434,Luxco-St Louis,62837,Purple Passion 4 Pack,6,200,3.54,5.31,6,31.86,1.20,0.32
S11463000118,04/04/2013,2544,Hy-Vee Food Store / Marshalltown,802 SOUTH CENTER,MARSHALLTOWN,50158,POINT (-92.912817 42.039205),64,Marshall,1071100,AMERICAN COCKTAILS,395,Proximo,58875,Jose Cuervo Golden Margarita,6,"1,750",10.50,15.74,6,94.44,10.50,2.77
S10393000013,02/04/2013,4308,Keystone Liquor and Wine / Coralvill,517  2ND ST STE 2,CORALVILLE,52241,POINT (-91.574095 41.671543),52,Johnson,1041100,AMERICAN DRY GINS,205,E AND J GALLO WINERY,31475,New Amsterdam Gin,12,750,6.90,10.35,12,124.20,9.00,2.38
S08656600016,10/30/2012,2651,Hy-Vee / Waverly,1311 4 STREET SW,WAVERLY,50677,POINT (-92.475403 42.712263),09,Bremer,1031080,VODKA 80 PROOF,297,Laird And Company,35917,Five O'clock Vodka,12,"1,000",4.01,6.01,12,72.12,12.00,3.17
S06830600011,07/30/2012,4668,Clear Lake Payless Foods,20 SOUTH 4TH ST,CLEAR LAKE,50428,POINT (-93.380368 43.135941),17,Cerro Gordo,1012100,CANADIAN WHISKIES,55,Sazerac North America,12406,Canadian Ltd Whisky,12,750,4.25,6.37,12,76.44,9.00,2.38
S25723200023,05/19/2015,2353,Cresco Liquor Store,708 2ND AVE SE,CRESCO,52136,POINT (-92.106529 43.371131),45,Howard,1071100,AMERICAN COCKTAILS,395,Proximo,58838,Jose Cuervo Authentic Lime Margarita,6,"1,750",8.20,12.30,6,73.80,10.50,2.77
S18530400003,04/21/2014,4950,Kum & Go #514 / Cedar Rapids,1420 MT VERNON RD,CEDAR RAPIDS,52403,POINT (-91.651424 41.97769),57,Linn,1031080,VODKA 80 PROOF,205,E AND J GALLO WINERY,36969,New Amsterdam Vodka,12,750,6.90,10.35,12,124.20,9.00,2.38
